date,year,month,day,day_of_week,venue,city,state,country,song_count,show_url
2007-07-01,2007,7,1,Sunday,Pompano Beach Amphitheatre,Pompano Beach,FL,US,11,https://discobiscuits.net/shows/2007-07-01-pompano-beach-amphitheatre-pompano-beach-fl
2007-07-07,2007,7,7,Saturday,Plumas County Fairgrounds,Quincy,CA,US,13,https://discobiscuits.net/shows/2007-07-07-plumas-country-fairgrounds-quincy-ca
2007-07-08,2007,7,8,Sunday,Plumas County Fairgrounds,Quincy,CA,US,7,https://discobiscuits.net/shows/2007-07-08-plumas-country-fairgrounds-quincy-ca
2007-07-10,2007,7,10,Tuesday,House Of Blues,West Hollywood,CA,US,13,https://discobiscuits.net/shows/2007-07-10-house-of-blues-west-hollywood-ca
2007-07-11,2007,7,11,Wednesday,House of Blues,San Diego,CA,US,14,https://discobiscuits.net/shows/2007-07-11-house-of-blues-san-diego-ca
2007-07-13,2007,7,13,Friday,Fox Theatre,Boulder,CO,US,14,https://discobiscuits.net/shows/2007-07-13-fox-theatre-boulder-co
2007-07-14,2007,7,14,Saturday,Trancegression,Copper Mountain,CO,US,12,https://discobiscuits.net/shows/2007-07-14-trancegression-copper-mountain-co
2007-07-15,2007,7,15,Sunday,Trancegression,Copper Mountain,CO,US,6,https://discobiscuits.net/shows/2007-07-15-trancegression-copper-mountain-co
2007-07-17,2007,7,17,Tuesday,The Blue Note,Columbia,MO,US,15,https://discobiscuits.net/shows/2007-07-17-the-blue-note-columbia-mo
2007-07-18,2007,7,18,Wednesday,The Rave,Milwaukee,WI,US,16,https://discobiscuits.net/shows/2007-07-18-the-rave-milwaukee-wi
2007-07-19,2007,7,19,Thursday,"10,000 Lakes Festival",Detriot Lakes,MN,US,13,https://discobiscuits.net/shows/2007-07-19-10-000-lakes-festival-detriot-lakes-mn
2007-07-21,2007,7,21,Saturday,Greek Theater,Berkeley,CA,US,6,https://discobiscuits.net/shows/2007-07-21-greek-theater-berkeley-ca
2007-08-15,2007,8,15,Wednesday,McCarren Park Pool,Williamsburg,NY,US,11,https://discobiscuits.net/shows/2007-08-15-mccarren-park-pool-williamsburg-ny
2007-08-16,2007,8,16,Thursday,Indian Lookout Country Club,Mariaville,NY,US,4,https://discobiscuits.net/shows/2007-08-16-indian-lookout-country-club-mariaville-ny
2007-08-17,2007,8,17,Friday,Indian Lookout Country Club,Mariaville,NY,US,17,https://discobiscuits.net/shows/2007-08-17-indian-lookout-country-club-mariaville-ny
2007-08-18,2007,8,18,Saturday,Indian Lookout Country Club,Mariaville,NY,US,14,https://discobiscuits.net/shows/2007-08-18-indian-lookout-country-club-mariaville-ny
2007-08-30,2007,8,30,Thursday,Chameleon Club,Lancaster,PA,US,10,https://discobiscuits.net/shows/2007-08-30-chameleon-club-lancaster-pa
2007-10-10,2007,10,10,Wednesday,State Theatre,St. Petersburg,FL,US,13,https://discobiscuits.net/shows/2007-10-10-state-theatre-st-petersburg-fl
2007-10-11,2007,10,11,Thursday,The Moon,Tallahassee,FL,US,12,https://discobiscuits.net/shows/2007-10-11-the-moon-tallahassee-fl
2007-10-12,2007,10,12,Friday,Bouckaert Farm,Fairburn,GA,US,8,https://discobiscuits.net/shows/2007-10-12-bouckaert-farm-fairburn-ga
2007-10-13,2007,10,13,Saturday,Bouckaert Farm,Fairburn,GA,US,8,https://discobiscuits.net/shows/2007-10-13-bouckaert-farm-fairburn-ga
2007-10-15,2007,10,15,Monday,New Daisy Theatre,Memphis,TN,US,13,https://discobiscuits.net/shows/2007-10-15-new-daisy-theatre-memphis-tn
